ts_code,ann_date,end_date,audit_result,audit_agency,audit_sign
000688.SZ,20120426,20111231,带强调事项段的无保留意见,信永中和会计师事务所,"罗建平,黄志芬"
000688.SZ,20110426,20101231,带强调事项段的无保留意见,信永中和会计师事务所,"罗建平,赵红梅"
000688.SZ,20100305,20091231,带强调事项段的无保留意见,信永中和会计师事务所,"罗建平,晏海国"
000691.SZ,20190427,20181231,带强调事项段的无保留意见,利安达会计师事务所,"曹忠志,李玉静"
000691.SZ,20180411,20171231,带强调事项段的无保留意见,利安达会计师事务所,"曹忠志,齐力"
000691.SZ,20170429,20161231,保留意见,利安达会计师事务所,"王东海,李昕"
000691.SZ,20110422,20101231,带强调事项段的无保留意见,国富浩华会计师事务所,"刘志文,张亚兵"
000691.SZ,20100428,20091231,无法表示意见,国富浩华会计师事务所,"刘志文,张亚兵"
000697.SZ,20110825,20110630,带强调事项段的无保留意见,国富浩华会计师事务所,"万奇见,雷军锋"
000697.SZ,20110201,20101231,带强调事项段的无保留意见,国富浩华会计师事务所,"雷军锋,张炳辉"
000697.SZ,20100325,20091231,带强调事项段的无保留意见,国富浩华会计师事务所,"潘要文,雷军锋"
000717.SZ,20160420,20151231,带强调事项段的无保留意见,瑞华会计师事务所,"赵金义,郭勇"
000719.SZ,20110420,20101231,带强调事项段的无保留意见,亚太(集团)会计师事务所,"杨晓垒,马凤菊"
000719.SZ,20100730,20100630,带强调事项段的无保留意见,亚太(集团)会计师事务所,"党惠茹,秦喜胜"
000719.SZ,20100310,20091231,带强调事项段的无保留意见,亚太(集团)会计师事务所,"党惠茹,赵合功"
000722.SZ,20100428,20091231,带强调事项段的无保留意见,天健会计师事务所,"贺焕华,谢卫雄"
000735.SZ,20130427,20121231,保留意见,中审亚太会计师事务所,"雷小玲,卢剑"
000737.SZ,20180213,20171231,带强调事项段的无保留意见,立信会计师事务所,"郭健,刘均刚"
000751.SZ,20130425,20121231,带强调事项段的无保留意见,华普天健会计师事务所,"魏弘,冯颖"
000752.SZ,20190430,20181231,无法表示意见,大信会计师事务所,"龚荣华,王文春"
000755.SZ,20130426,20121231,带强调事项段的无保留意见,致同会计师事务所,"韩瑞红,彭素红"
000755.SZ,20120424,20111231,带强调事项段的无保留意见,京都天华会计师事务所,"韩瑞红,彭素红"
000757.SZ,20110427,20101231,带强调事项段的无保留意见,立信大华会计师事务所,"范荣,沈瑞鉴"
000757.SZ,20100410,20091231,带强调事项段的无保留意见,立信大华会计师事务所,"范荣,沈瑞鉴"
000760.SZ,20190430,20181231,保留意见,利安达会计师事务所,"丁剑,郑飞"
000760.SZ,20180426,20171231,保留意见,中兴财光华会计师事务所,"秦卫国,朱建华"
000782.SZ,20120427,20111231,带强调事项段的无保留意见,立信会计师事务所,"王乐栋,冯金刚"
000788.SZ,20170429,20161231,带强调事项段的无保留意见,天健会计师事务所,"张凯,陈应爵"
000788.SZ,20160429,20151231,带强调事项段的无保留意见,天健会计师事务所,"张凯,陈应爵"
000788.SZ,20150428,20141231,带强调事项段的无保留意见,天健会计师事务所,"张凯,黄巧梅"
000798.SZ,20170421,20161231,保留意见,中审众环会计师事务所,"冯建江,王兵"
000798.SZ,20160429,20151231,保留意见,中审亚太会计师事务所,"李敏,周燕"
000800.SZ,20170401,20161231,保留意见,瑞华会计师事务所,"张富根,徐伟东"
000806.SZ,20190427,20181231,保留意见,中审华会计师事务所,"张乾明,周志"
000815.SZ,20150415,20141231,带强调事项段的无保留意见,立信会计师事务所,"李长照,王志勇"
000815.SZ,20140426,20131231,带强调事项段的无保留意见,立信会计师事务所,"李长照,甄志杰"
000818.SZ,20100831,20100630,带强调事项段的无保留意见,天职国际会计师事务所,"王君,王世海"
000818.SZ,20100423,20091231,无法表示意见,中审国际会计师事务所,"邵勇敢,于君廷"
000820.SZ,20190430,20181231,无法表示意见,大信会计师事务所,"郭海兰,尹东"
000820.SZ,20190430,20181231,无法表示意见,大信会计师事务所,"郭海兰,尹冬"
000820.SZ,20180428,20171231,保留意见,大信会计师事务所,"于曙光,密惠红"
000820.SZ,20160428,20151231,带强调事项段的无保留意见,亚太(集团)会计师事务所,"唐文彬,孙政军"
000820.SZ,20120427,20111231,带强调事项段的无保留意见,上海上会会计师事务所,"张晓荣,王磊"
000820.SZ,20110422,20101231,保留意见,上海上会会计师事务所,"张晓荣,王磊"
000820.SZ,20100415,20091231,带强调事项段的无保留意见,中准会计师事务所,"张福建,温秀芳"
000831.SZ,20120305,20111231,带强调事项段的无保留意见,大华会计师事务所,"王忻,陈晓强"
000831.SZ,20110318,20101231,带强调事项段的无保留意见,天健正信会计师事务所,"王忻,李少强"
000831.SZ,20100420,20091231,带强调事项段的无保留意见,天健正信会计师事务所,"王忻,李少强"
000835.SZ,20190430,20181231,带强调事项段的无保留意见,瑞华会计师事务所,"邢士军,张广志"
000856.SZ,20110129,20101231,带强调事项段的无保留意见,中磊会计师事务所,"曹忠志,王艳玲"
000856.SZ,20100820,20100630,带强调事项段的无保留意见,中磊会计师事务所,"曹忠志,齐力"
000856.SZ,20100227,20091231,带强调事项段的无保留意见,中磊会计师事务所,"曹忠志,王艳玲"
000863.SZ,20110425,20101231,带强调事项段的无保留意见,武汉众环会计师事务所,"王郁,肖昊来"
000863.SZ,20100428,20091231,带强调事项段的无保留意见,武汉众环会计师事务所,"谢峰,肖昊来"
000868.SZ,20190416,20181231,带强调事项段的无保留意见,华普天健会计师事务所,"李生敏,汤小龙,张玉伟"
000886.SZ,20180425,20171231,带强调事项段的无保留意见,立信会计师事务所,"刘泽波,郭柳艳"
000892.SZ,20190430,20181231,保留意见,天健会计师事务所,"黄巧梅,李小燕"
000892.SZ,20180427,20171231,带强调事项段的无保留意见,天健会计师事务所,"黄巧梅,李小燕"
000892.SZ,20160722,20160630,带强调事项段的无保留意见,天健会计师事务所,"张凯,赵兴明"
